iter	Passed	Remaining
1006	6748	3297
1007	6755	3290
1008	6761	3283
1009	6766	3276
1010	6774	3270
1011	6780	3262
1012	6787	3256
1013	6793	3249
1014	6799	3242
1015	6807	3236
1016	6813	3228
1017	6819	3222
1018	6826	3215
1019	6831	3208
1020	6840	3202
1021	6846	3195
1022	6854	3189
1023	6859	3182
1024	6865	3174
1025	6873	3168
1026	6878	3161
1027	6885	3154
1028	6892	3148
1029	6897	3140
1030	6906	3135
1031	6912	3128
1032	6921	3122
1033	6926	3115
1034	6932	3108
1035	6939	3101
1036	6945	3094
1037	6955	3089
1038	6961	3082
1039	6969	3075
1040	6975	3068
1041	6980	3061
1042	6989	3055
1043	6995	3048
1044	7003	3042
1045	7009	3035
1046	7016	3029
1047	7023	3022
1048	7032	3016
1049	7038	3010
1050	7044	3002
1051	7052	2996
1052	7058	2989
1053	7063	2982
1054	7071	2976
1055	7077	2969
1056	7086	2963
1057	7091	2955
1058	7099	2949
1059	7106	2942
1060	7111	2935
1061	7119	2929
1062	7125	2922
1063	7131	2915
1064	7138	2909
1065	7144	2901
1066	7152	2895
1067	7157	2888
1068	7164	2882
1069	7171	2875
1070	7176	2868
1071	7185	2862
1072	7192	2855
1073	7200	2849
1074	7206	2842
1075	7213	2835
1076	7220	2829
1077	7226	2822
1078	7235	2816
1079	7241	2809
1080	7250	2803
1081	7256	2796
1082	7263	2790
1083	7269	2783
1084	7275	2775
1085	7283	2770
1086	7290	2763
1087	7297	2756
1088	7304	2749
1089	7309	2742
1090	7317	2736
1091	7323	2729
1092	7330	2723
1093	7336	2716
1094	7342	2708
1095	7349	2702
1096	7355	2695
1097	7363	2689
1098	7369	2682
1099	7374	2674
1100	7382	2668
1101	7388	2661
1102	7397	2655
1103	7404	2649
1104	7413	2643
1105	7419	2636
1106	7427	2630
1107	7433	2623
1108	7439	2616
1109	7447	2610
1110	7453	2602
1111	7461	2596
1112	7468	2590
1113	7474	2583
1114	7482	2576
1115	7487	2569
1116	7496	2563
1117	7502	2556
1118	7510	2550
1119	7516	2543
1120	7522	2536
1121	7529	2529
1122	7535	2522
1123	7544	2517
1124	7550	2510
1125	7558	2503
1126	7564	2496
1127	7570	2489
1128	7578	2483
1129	7585	2477
1130	7594	2471
1131	7600	2463
1132	7609	2458
1133	7614	2451
1134	7622	2444
1135	7629	2437
1136	7634	2430
1137	7642	2424
1138	7648	2417
1139	7656	2411
1140	7662	2404
1141	7668	2397
1142	7676	2390
1143	7682	2383
1144	7690	2377
1145	7697	2370
1146	7703	2364
1147	7710	2357
1148	7717	2350
1149	7724	2344
1150	7731	2337
1151	7740	2331
1152	7745	2324
1153	7753	2317
1154	7759	2311
1155	7765	2303
1156	7773	2297
1157	7779	2290
1158	7787	2284
1159	7793	2277
1160	7800	2270
1161	7806	2263
1162	7812	2257
1163	7820	2250
1164	7826	2243
1165	7834	2237
1166	7840	2230
1167	7848	2224
1168	7854	2217
1169	7859	2210
1170	7867	2203
1171	7873	2196
1172	7881	2190
1173	7887	2183
1174	7892	2176
1175	7900	2169
1176	7906	2162
1177	7914	2156
1178	7920	2149
1179	7927	2143
1180	7934	2136
1181	7939	2129
1182	7947	2122
1183	7952	2115
1184	7959	2109
1185	7966	2102
1186	7972	2095
1187	7980	2089
1188	7986	2082
1189	7993	2075
1190	8000	2068
1191	8006	2061
1192	8014	2055
1193	8020	2048
1194	8030	2042
1195	8035	2035
1196	8041	2028
1197	8048	2022
1198	8054	2015
1199	8062	2008
1200	8067	2001
1201	8074	1995
1202	8081	1988
1203	8086	1981
1204	8094	1974
1205	8100	1967
1206	8106	1961
1207	8114	1954
1208	8120	1947
1209	8128	1941
1210	8134	1934
1211	8141	1927
1212	8148	1921
1213	8153	1914
1214	8161	1907
1215	8166	1900
1216	8175	1894
1217	8182	1887
1218	8188	1880
1219	8195	1874
1220	8200	1867
1221	8208	1860
1222	8215	1853
1223	8223	1847
1224	8229	1840
1225	8235	1833
1226	8243	1827
1227	8249	1820
1228	8256	1813
1229	8262	1807
1230	8268	1800
1231	8276	1793
1232	8282	1786
1233	8290	1780
1234	8296	1773
1235	8301	1766
1236	8310	1760
1237	8315	1753
1238	8322	1746
1239	8328	1739
1240	8334	1732
1241	8341	1726
1242	8347	1719
1243	8355	1712
1244	8361	1705
1245	8367	1699
1246	8375	1692
1247	8381	1685
1248	8388	1679
1249	8395	1672
1250	8403	1665
1251	8409	1659
1252	8415	1652
1253	8423	1645
1254	8430	1638
1255	8437	1632
1256	8443	1625
1257	8449	1618
1258	8457	1612
1259	8463	1605
1260	8471	1598
1261	8477	1591
1262	8482	1585
1263	8490	1578
1264	8495	1571
1265	8504	1565
1266	8510	1558
1267	8517	1551
1268	8523	1544
1269	8529	1537
1270	8537	1531
1271	8543	1524
1272	8552	1518
1273	8562	1512
1274	8571	1505
1275	8577	1499
1276	8583	1492
1277	8590	1485
1278	8595	1478
1279	8604	1472
1280	8610	1465
1281	8618	1458
1282	8624	1452
1283	8632	1445
1284	8639	1438
1285	8644	1431
1286	8653	1425
1287	8659	1418
1288	8667	1412
1289	8673	1405
1290	8680	1398
1291	8686	1391
1292	8692	1384
1293	8700	1378
1294	8706	1371
1295	8713	1364
1296	8719	1358
1297	8724	1351
1298	8732	1344
1299	8738	1337
1300	8746	1331
1301	8752	1324
1302	8758	1317
1303	8765	1310
1304	8771	1303
1305	8779	1297
1306	8786	1290
1307	8794	1284
1308	8800	1277
1309	8809	1270
1310	8815	1264
1311	8823	1257
1312	8829	1250
1313	8835	1243
1314	8843	1237
1315	8849	1230
